in s,C1 in V
-2.991472E-03,4.78516E-02
-2.991426E-03,1.45508E-01
-2.991380E-03,9.66797E-02
-2.991334E-03,1.94336E-01
-2.991288E-03,4.78516E-02
-2.991242E-03,9.66797E-02
-2.991196E-03,9.66797E-02
-2.991150E-03,9.66797E-02
-2.991104E-03,9.66797E-02
-2.991058E-03,-9.76562E-04
-2.991012E-03,-4.98047E-02
-2.990966E-03,1.45508E-01
-2.990920E-03,1.45508E-01
-2.990874E-03,9.66797E-02
-2.990828E-03,4.78516E-02
-2.990782E-03,4.78516E-02
-2.990736E-03,4.78516E-02
-2.990690E-03,9.66797E-02
-2.990644E-03,4.78516E-02
-2.990598E-03,-9.76562E-04
-2.990552E-03,-4.98047E-02
-2.990506E-03,9.66797E-02
-2.990460E-03,-9.76562E-04
-2.990414E-03,1.94336E-01
-2.990368E-03,9.66797E-02
-2.990322E-03,-9.76562E-04
-2.990276E-03,-4.98047E-02
-2.990230E-03,1.45508E-01
-2.990184E-03,9.66797E-02
-2.990138E-03,-1.47461E-01
-2.990092E-03,4.78516E-02
-2.990046E-03,4.78516E-02
-2.990000E-03,4.78516E-02
-2.989954E-03,1.94336E-01
-2.989908E-03,1.94336E-01
-2.989862E-03,-4.98047E-02
-2.989816E-03,4.78516E-02
-2.989770E-03,2.43164E-01
-2.989724E-03,-9.76562E-04
-2.989678E-03,9.66797E-02
-2.989632E-03,9.66797E-02
-2.989586E-03,1.45508E-01
-2.989540E-03,-4.98047E-02
-2.989494E-03,1.94336E-01
-2.989448E-03,-9.86328E-02
-2.989402E-03,4.78516E-02
-2.989356E-03,1.94336E-01
-2.989310E-03,4.78516E-02
-2.989264E-03,9.66797E-02
-2.989218E-03,-4.98047E-02
-2.989172E-03,9.66797E-02
-2.989126E-03,-9.76562E-04
-2.989080E-03,-9.76562E-04
-2.989034E-03,4.78516E-02
-2.988988E-03,9.66797E-02
-2.988942E-03,-4.98047E-02
-2.988896E-03,9.66797E-02
-2.988850E-03,4.78516E-02
-2.988804E-03,-4.98047E-02
-2.988758E-03,9.66797E-02
-2.988712E-03,-9.76562E-04
-2.988666E-03,4.78516E-02
-2.988620E-03,9.66797E-02
-2.988574E-03,9.66797E-02
-2.988528E-03,-9.76562E-04
-2.988482E-03,9.66797E-02
-2.988436E-03,4.78516E-02
-2.988390E-03,4.78516E-02
-2.988344E-03,4.78516E-02
-2.988298E-03,9.66797E-02
-2.988252E-03,1.45508E-01
-2.988206E-03,-9.76562E-04
-2.988160E-03,9.66797E-02
-2.988114E-03,4.78516E-02
-2.988068E-03,9.66797E-02
-2.988022E-03,2.43164E-01
-2.987976E-03,9.66797E-02
-2.987930E-03,-9.76562E-04
-2.987884E-03,4.78516E-02
-2.987838E-03,4.78516E-02
-2.987792E-03,4.78516E-02
-2.987746E-03,-4.98047E-02
-2.987700E-03,9.66797E-02
-2.987654E-03,4.78516E-02
-2.987608E-03,9.66797E-02
-2.987562E-03,-9.86328E-02
-2.987516E-03,9.66797E-02
-2.987470E-03,9.66797E-02
-2.987424E-03,9.66797E-02
-2.987378E-03,-4.98047E-02
-2.987332E-03,4.78516E-02
-2.987286E-03,4.78516E-02
-2.987240E-03,4.78516E-02
-2.987194E-03,9.66797E-02
-2.987148E-03,9.66797E-02
-2.987102E-03,-4.98047E-02
-2.987056E-03,4.78516E-02
-2.987010E-03,1.94336E-01
-2.986964E-03,9.66797E-02
-2.986918E-03,-9.76562E-04
-2.986872E-03,-9.76562E-04
-2.986826E-03,4.78516E-02
-2.986780E-03,4.78516E-02
-2.986734E-03,9.66797E-02
-2.986688E-03,-9.76562E-04
-2.986642E-03,-9.76562E-04
-2.986596E-03,4.78516E-02
-2.986550E-03,2.43164E-01
-2.986504E-03,9.66797E-02
-2.986458E-03,1.94336E-01
-2.986412E-03,2.43164E-01
-2.986366E-03,9.66797E-02
-2.986320E-03,4.78516E-02
-2.986274E-03,9.66797E-02
-2.986228E-03,1.45508E-01
-2.986182E-03,4.78516E-02
-2.986136E-03,4.78516E-02
-2.986090E-03,9.66797E-02
-2.986044E-03,4.78516E-02
-2.985998E-03,9.66797E-02
-2.985952E-03,9.66797E-02
-2.985906E-03,9.66797E-02
-2.985860E-03,-9.76562E-04
-2.985814E-03,9.66797E-02
-2.985768E-03,9.66797E-02
-2.985722E-03,9.66797E-02
-2.985676E-03,4.78516E-02
-2.985630E-03,1.94336E-01
-2.985584E-03,1.45508E-01
-2.985538E-03,9.66797E-02
-2.985492E-03,1.94336E-01
-2.985446E-03,4.78516E-02
-2.985400E-03,9.66797E-02
-2.985354E-03,4.78516E-02
-2.985308E-03,-9.76562E-04
-2.985262E-03,9.66797E-02
-2.985216E-03,4.78516E-02
-2.985170E-03,9.66797E-02
-2.985124E-03,1.94336E-01
-2.985078E-03,1.45508E-01
-2.985032E-03,4.78516E-02
-2.984986E-03,-9.86328E-02
-2.984940E-03,4.78516E-02
-2.984894E-03,-4.98047E-02
-2.984848E-03,9.66797E-02
-2.984802E-03,-4.98047E-02
-2.984756E-03,1.45508E-01
-2.984710E-03,1.94336E-01
-2.984664E-03,4.78516E-02
-2.984618E-03,-4.98047E-02
-2.984572E-03,4.78516E-02
-2.984526E-03,4.78516E-02
-2.984480E-03,9.66797E-02
-2.984434E-03,-9.76562E-04
-2.984388E-03,1.94336E-01
-2.984342E-03,9.66797E-02
-2.984296E-03,-9.76562E-04
-2.984250E-03,-4.98047E-02
-2.984204E-03,4.78516E-02
-2.984158E-03,-9.76562E-04
-2.984112E-03,4.78516E-02
-2.984066E-03,9.66797E-02
-2.984020E-03,2.43164E-01
-2.983974E-03,-9.86328E-02
-2.983928E-03,-9.76562E-04
-2.983882E-03,9.66797E-02
-2.983836E-03,9.66797E-02
-2.983790E-03,-4.98047E-02
-2.983744E-03,-9.76562E-04
-2.983698E-03,4.78516E-02
-2.983652E-03,9.66797E-02
-2.983606E-03,9.66797E-02
-2.983560E-03,-4.98047E-02
-2.983514E-03,4.78516E-02
-2.983468E-03,1.94336E-01
-2.983422E-03,-4.98047E-02
-2.983376E-03,9.66797E-02
-2.983330E-03,4.78516E-02
-2.983284E-03,1.45508E-01
-2.983238E-03,9.66797E-02
-2.983192E-03,9.66797E-02
-2.983146E-03,-1.47461E-01
-2.983100E-03,4.78516E-02
-2.983054E-03,9.66797E-02
-2.983008E-03,4.78516E-02
-2.982962E-03,-4.98047E-02
-2.982916E-03,4.78516E-02
-2.982870E-03,9.66797E-02
-2.982824E-03,-1.96289E-01
-2.982778E-03,-9.76562E-04
-2.982732E-03,4.78516E-02
-2.982686E-03,9.66797E-02
-2.982640E-03,4.78516E-02
-2.982594E-03,1.45508E-01
-2.982548E-03,4.78516E-02
-2.982502E-03,-4.98047E-02
-2.982456E-03,-9.86328E-02
-2.982410E-03,4.78516E-02
-2.982364E-03,4.78516E-02
-2.982318E-03,4.78516E-02
-2.982272E-03,-9.86328E-02
-2.982226E-03,4.78516E-02
-2.982180E-03,-9.86328E-02
-2.982134E-03,4.78516E-02
-2.982088E-03,-4.98047E-02
-2.982042E-03,4.78516E-02
-2.981996E-03,1.45508E-01
-2.981950E-03,1.45508E-01
-2.981904E-03,1.94336E-01
-2.981858E-03,-4.98047E-02
-2.981812E-03,1.45508E-01
-2.981766E-03,-9.76562E-04
-2.981720E-03,-9.76562E-04
-2.981674E-03,9.66797E-02
-2.981628E-03,9.66797E-02
-2.981582E-03,9.66797E-02
-2.981536E-03,1.45508E-01
-2.981490E-03,-4.98047E-02
-2.981444E-03,4.78516E-02
-2.981398E-03,9.66797E-02
-2.981352E-03,9.66797E-02
-2.981306E-03,9.66797E-02
-2.981260E-03,4.78516E-02
-2.981214E-03,9.66797E-02
-2.981168E-03,4.78516E-02
-2.981122E-03,-9.76562E-04
-2.981076E-03,9.66797E-02
-2.981030E-03,-9.86328E-02
-2.980984E-03,4.78516E-02
-2.980938E-03,9.66797E-02
-2.980892E-03,1.94336E-01
-2.980846E-03,4.78516E-02
-2.980800E-03,9.66797E-02
-2.980754E-03,4.78516E-02
-2.980708E-03,9.66797E-02
-2.980662E-03,4.78516E-02
-2.980616E-03,-9.86328E-02
-2.980570E-03,-9.86328E-02
-2.980524E-03,9.66797E-02
-2.980478E-03,4.78516E-02
-2.980432E-03,-9.86328E-02
-2.980386E-03,4.78516E-02
-2.980340E-03,9.66797E-02
-2.980294E-03,4.78516E-02
-2.980248E-03,-9.76562E-04
-2.980202E-03,4.78516E-02
-2.980156E-03,4.78516E-02
-2.980110E-03,-4.98047E-02
-2.980064E-03,-4.98047E-02
-2.980018E-03,-9.86328E-02
-2.979972E-03,-9.76562E-04
-2.979926E-03,9.66797E-02
-2.979880E-03,-4.98047E-02
-2.979834E-03,-9.76562E-04
-2.979788E-03,-9.76562E-04
-2.979742E-03,9.66797E-02
-2.979696E-03,4.78516E-02
-2.979650E-03,4.78516E-02
-2.979604E-03,1.45508E-01
-2.979558E-03,4.78516E-02
-2.979512E-03,-4.98047E-02
-2.979466E-03,9.66797E-02
-2.979420E-03,1.94336E-01
-2.979374E-03,-4.98047E-02
-2.979328E-03,-4.98047E-02
-2.979282E-03,-4.98047E-02
-2.979236E-03,-4.98047E-02
-2.979190E-03,4.78516E-02
-2.979144E-03,9.66797E-02
-2.979098E-03,9.66797E-02
-2.979052E-03,-4.98047E-02
-2.979006E-03,9.66797E-02
-2.978960E-03,1.45508E-01
-2.978914E-03,9.66797E-02
-2.978868E-03,-4.98047E-02
-2.978822E-03,-4.98047E-02
-2.978776E-03,4.78516E-02
-2.978730E-03,1.45508E-01
-2.978684E-03,4.78516E-02
-2.978638E-03,9.66797E-02
-2.978592E-03,4.78516E-02
-2.978546E-03,-9.76562E-04
-2.978500E-03,-4.98047E-02
-2.978454E-03,4.78516E-02
-2.978408E-03,-9.86328E-02
-2.978362E-03,1.94336E-01
-2.978316E-03,9.66797E-02
-2.978270E-03,-4.98047E-02
-2.978224E-03,4.78516E-02
-2.978178E-03,-9.76562E-04
-2.978132E-03,9.66797E-02
-2.978086E-03,-9.76562E-04
-2.978040E-03,4.78516E-02
-2.977994E-03,1.45508E-01
-2.977948E-03,-9.76562E-04
-2.977902E-03,-9.76562E-04
-2.977856E-03,-4.98047E-02
-2.977810E-03,-9.76562E-04
-2.977764E-03,4.78516E-02
-2.977718E-03,9.66797E-02
-2.977672E-03,-4.98047E-02
-2.977626E-03,1.45508E-01
-2.977580E-03,9.66797E-02
-2.977534E-03,4.78516E-02
-2.977488E-03,9.66797E-02
-2.977442E-03,9.66797E-02
-2.977396E-03,9.66797E-02
-2.977350E-03,9.66797E-02
-2.977304E-03,-9.76562E-04
-2.977258E-03,9.66797E-02
-2.977212E-03,4.78516E-02
-2.977166E-03,-4.98047E-02
-2.977120E-03,9.66797E-02
-2.977074E-03,-9.76562E-04
-2.977028E-03,4.78516E-02
-2.976982E-03,1.94336E-01
-2.976936E-03,-9.76562E-04
-2.976890E-03,4.78516E-02
-2.976844E-03,1.45508E-01
-2.976798E-03,9.66797E-02
-2.976752E-03,2.43164E-01
-2.976706E-03,1.45508E-01
-2.976660E-03,4.78516E-02
-2.976614E-03,-9.76562E-04
-2.976568E-03,-9.76562E-04
-2.976522E-03,4.78516E-02
-2.976476E-03,4.78516E-02
-2.976430E-03,9.66797E-02
-2.976384E-03,1.94336E-01
-2.976338E-03,-9.86328E-02
-2.976292E-03,4.78516E-02
-2.976246E-03,2.43164E-01
-2.976200E-03,4.78516E-02
